"gridvalue","CDF","type"
480,0.74167,"Monte Carlo Simulation"
485,0.74311,"Monte Carlo Simulation"
490,0.7446,"Monte Carlo Simulation"
495,0.74628,"Monte Carlo Simulation"
500,0.74764,"Monte Carlo Simulation"
505,0.74901,"Monte Carlo Simulation"
510,0.75067,"Monte Carlo Simulation"
515,0.75199,"Monte Carlo Simulation"
520,0.75343,"Monte Carlo Simulation"
525,0.7548,"Monte Carlo Simulation"
530,0.75629,"Monte Carlo Simulation"
535,0.75753,"Monte Carlo Simulation"
540,0.75913,"Monte Carlo Simulation"
545,0.76038,"Monte Carlo Simulation"
550,0.76173,"Monte Carlo Simulation"
555,0.76301,"Monte Carlo Simulation"
560,0.76437,"Monte Carlo Simulation"
565,0.76547,"Monte Carlo Simulation"
570,0.76673,"Monte Carlo Simulation"
575,0.7679,"Monte Carlo Simulation"
580,0.76907,"Monte Carlo Simulation"
585,0.77026,"Monte Carlo Simulation"
590,0.77123,"Monte Carlo Simulation"
595,0.77246,"Monte Carlo Simulation"
600,0.77346,"Monte Carlo Simulation"
605,0.77455,"Monte Carlo Simulation"
610,0.77574,"Monte Carlo Simulation"
615,0.77671,"Monte Carlo Simulation"
620,0.77772,"Monte Carlo Simulation"
625,0.77891,"Monte Carlo Simulation"
630,0.77982,"Monte Carlo Simulation"
635,0.78073,"Monte Carlo Simulation"
640,0.78165,"Monte Carlo Simulation"
645,0.78273,"Monte Carlo Simulation"
650,0.78386,"Monte Carlo Simulation"
655,0.78489,"Monte Carlo Simulation"
660,0.78611,"Monte Carlo Simulation"
665,0.78705,"Monte Carlo Simulation"
670,0.78823,"Monte Carlo Simulation"
675,0.78917,"Monte Carlo Simulation"
680,0.79024,"Monte Carlo Simulation"
685,0.79108,"Monte Carlo Simulation"
690,0.79183,"Monte Carlo Simulation"
695,0.79278,"Monte Carlo Simulation"
700,0.79368,"Monte Carlo Simulation"
705,0.79455,"Monte Carlo Simulation"
710,0.79545,"Monte Carlo Simulation"
715,0.7963,"Monte Carlo Simulation"
720,0.79722,"Monte Carlo Simulation"
725,0.79807,"Monte Carlo Simulation"
730,0.7989,"Monte Carlo Simulation"
735,0.79968,"Monte Carlo Simulation"
740,0.80039,"Monte Carlo Simulation"
745,0.8013,"Monte Carlo Simulation"
750,0.80223,"Monte Carlo Simulation"
755,0.80308,"Monte Carlo Simulation"
760,0.80409,"Monte Carlo Simulation"
765,0.80493,"Monte Carlo Simulation"
770,0.80572,"Monte Carlo Simulation"
